"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","defense response to bacterium","GO:0042742","false","4.747573929044179e-19","18.323528263720814","332","844","58","21026","GBP2,FCGR1A,H2BC12,HP,STAB1,CASP1,FCER1G,TLR2,H2BC6,CFP,GRN,CASP4,GBP1,CLEC4E,S100A9,EMILIN2,NLRC4,GBP5,CD36,BPI,ELANE,S100A12,NAIP,GBP3,TLR9,DEFA3,MPO,H2BC12L,NOD2,RNASE1,SLC11A1,IL1B,FPR2,CAMP,RASGRP4,GBP6,PPBP,SELP,AZU1,DEFA4,ANXA3,SLAMF8,PGLYRP1,LCN2,GBP4,NLRP6,CLEC4D,CTSG,SLPI,S100A8,AQP1,CHGA,LTF,IL10,LPO,TREM2,PGLYRP4,PRG2"
"GO:BP","regulation of inflammatory response","GO:0050727","false","5.729415977259691e-19","18.241889645184468","390","844","63","21026","GBP2,AIM2,FCGR1A,CASP1,GPER1,TLR2,GRN,CASP4,GBP1,MMP9,GBA1,RHBDF2,S100A9,LRRK2,NLRC4,GBP5,EDNRB,TNFAIP6,BCL6,MAPK14,NMI,ELANE,S100A12,NAIP,ALOX5AP,CST7,GBP3,TLR9,BST1,FFAR2,LILRA5,IL1R1,IFI35,SOCS3,NOD2,WFDC1,GGT1,IL1B,FPR2,CARD16,SBNO2,ALOX5,CASP5,SLAMF8,HCK,FFAR3,PGLYRP1,FUT7,TRPV4,OSM,MMP8,NLRP6,NUPR1,C1QTNF12,ACOD1,S100A8,CYP19A1,PPARG,IL10,TREM2,SUCNR1,SNCA,APOE"
"GO:BP","response to lipopolysaccharide","GO:0032496","false","3.1781801414057934e-17","16.49782149032522","339","844","56","21026","IRAK3,GBP2,CASP1,CD274,PDCD1LG2,TLR2,ADAM9,TLR5,MMP9,S100A9,CD14,GBP5,EDNRB,CD36,BPI,MAPK14,ELANE,ADM,LOXL1,GBP3,CD55,TSPO,TLR9,DEFA3,MPO,FCAR,NOD2,SLC11A1,IL1B,CAMP,CARD16,SBNO2,PPBP,SELP,DEFA4,HCK,ALPL,C2,LY96,PF4,MMP8,GJB6,PTGFR,CTSG,ACOD1,SLPI,S100A8,PF4V1,LTF,ASS1,MRC1,IL10,TREM2,SNCA,MAOB,PTGER1"
"GO:BP","response to molecule of bacterial origin","GO:0002237","false","7.333446671533962e-17","16.13469186183726","357","844","57","21026","IRAK3,GBP2,CASP1,CD274,PDCD1LG2,TLR2,ADAM9,TLR5,MMP9,S100A9,CD14,GBP5,EDNRB,CD36,BPI,MAPK14,ELANE,ADM,FZD5,LOXL1,GBP3,CD55,TSPO,TLR9,DEFA3,MPO,FCAR,NOD2,SLC11A1,IL1B,CAMP,CARD16,SBNO2,PPBP,SELP,DEFA4,HCK,ALPL,C2,LY96,PF4,MMP8,GJB6,PTGFR,CTSG,ACOD1,SLPI,S100A8,PF4V1,LTF,ASS1,MRC1,IL10,TREM2,SNCA,MAOB,PTGER1"
"GO:BP","myeloid leukocyte activation","GO:0002274","false","2.218194284450036e-16","15.65400041807445","244","844","46","21026","MILR1,FCER1G,TLR2,LTBR,CD300A,ADAM9,ITGAM,CLU,GRN,BATF2,LRRK2,TYROBP,BPI,NMI,S100A12,CST7,TLR9,IL18RAP,PLA2G4A,IFI35,FCAR,DYSF,C1QA,SLC11A1,VSIG4,FES,FPR2,CAMP,SBNO2,AZU1,ADGRE2,THBS1,ANXA3,PLSCR1,AIF1,CD177,MMP8,CLEC4D,CTSG,CHGA,IL10,TREM2,SUCNR1,MT1G,SNCA,FN1"
"GO:BP","cellular response to molecule of bacterial origin","GO:0071219","false","3.9248583768548765e-14","13.406176009558246","225","844","41","21026","IRAK3,GBP2,CASP1,CD274,PDCD1LG2,TLR2,ADAM9,TLR5,MMP9,CD14,GBP5,EDNRB,CD36,BPI,MAPK14,FZD5,GBP3,CD55,TSPO,TLR9,DEFA3,FCAR,NOD2,IL1B,CAMP,CARD16,SBNO2,PPBP,DEFA4,HCK,LY96,PF4,MMP8,CTSG,ACOD1,PF4V1,LTF,ASS1,MRC1,IL10,TREM2"
"GO:BP","chemotaxis","GO:0006935","false","1.6324794979803403e-13","12.787152264245794","467","844","60","21026","DUSP3,CCRL2,ANOS1,FCER1G,PLP2,GAS6,C3AR1,PLAUR,ITGA9,TYMP,S100A9,FPR1,TRPM2,RAB13,EDNRB,TNFAIP6,MAPK14,ELANE,S100A12,SEMA4A,CXCL16,BST1,FFAR2,NOD2,FES,IL1B,CMTM5,FPR2,PPBP,ALOX5,AZU1,ADGRE2,SEMA3B,THBS1,DOCK4,SLAMF8,SEMA6B,AIF1,TRPV4,PF4,NRG1,PADI2,MMP2,ITGB3,CMTM2,PLAU,CTSG,S100A8,CYP19A1,PF4V1,CHGA,IL10,F3,TREM2,SUCNR1,NTRK3,RNASE2,FGF8,TUBB2B,NRP1"
"GO:BP","positive regulation of inflammatory response","GO:0050729","false","1.7388240129804564e-13","12.75974437087774","153","844","33","21026","GBP2,AIM2,FCGR1A,CASP1,TLR2,GRN,CASP4,GBP1,S100A9,LRRK2,NLRC4,GBP5,NMI,S100A12,NAIP,ALOX5AP,GBP3,TLR9,FFAR2,LILRA5,IFI35,IL1B,CASP5,FFAR3,TRPV4,OSM,MMP8,NLRP6,NUPR1,S100A8,TREM2,SUCNR1,SNCA"
"GO:BP","taxis","GO:0042330","false","1.9298224263311592e-13","12.714482650998695","469","844","60","21026","DUSP3,CCRL2,ANOS1,FCER1G,PLP2,GAS6,C3AR1,PLAUR,ITGA9,TYMP,S100A9,FPR1,TRPM2,RAB13,EDNRB,TNFAIP6,MAPK14,ELANE,S100A12,SEMA4A,CXCL16,BST1,FFAR2,NOD2,FES,IL1B,CMTM5,FPR2,PPBP,ALOX5,AZU1,ADGRE2,SEMA3B,THBS1,DOCK4,SLAMF8,SEMA6B,AIF1,TRPV4,PF4,NRG1,PADI2,MMP2,ITGB3,CMTM2,PLAU,CTSG,S100A8,CYP19A1,PF4V1,CHGA,IL10,F3,TREM2,SUCNR1,NTRK3,RNASE2,FGF8,TUBB2B,NRP1"
"GO:BP","cellular response to lipopolysaccharide","GO:0071222","false","2.1754632621020216e-13","12.662448246409916","215","844","39","21026","IRAK3,GBP2,CASP1,CD274,PDCD1LG2,TLR2,ADAM9,TLR5,MMP9,CD14,GBP5,EDNRB,CD36,BPI,MAPK14,GBP3,CD55,TSPO,TLR9,DEFA3,FCAR,NOD2,IL1B,CAMP,CARD16,SBNO2,PPBP,DEFA4,HCK,LY96,PF4,MMP8,CTSG,ACOD1,PF4V1,LTF,ASS1,MRC1,IL10"
