NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE,
GOBP_RNA_METHYLATION,GOBP_RNA_METHYLATION,Details ...,90,-0.6619929,-2.1748605,0.0,0.0,0.0,4159,"tags=48%, list=15%, signal=56%",
GOBP_RRNA_PROCESSING,GOBP_RRNA_PROCESSING,Details ...,234,-0.57183,-2.1251564,0.0,0.0,0.0,5272,"tags=45%, list=19%, signal=55%",
GOBP_RIBOSOME_BIOGENESIS,GOBP_RIBOSOME_BIOGENESIS,Details ...,326,-0.55538684,-2.1244314,0.0,0.0,0.0,4819,"tags=40%, list=17%, signal=48%",
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,Details ...,113,-0.61042047,-2.077257,0.0,6.953827E-04,0.005,6635,"tags=53%, list=24%, signal=70%",
REACTOME_RRNA_PROCESSING,REACTOME_RRNA_PROCESSING,Details ...,210,-0.5642276,-2.0557828,0.0,7.7849836E-04,0.007,7059,"tags=57%, list=25%, signal=75%",
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL,REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL,Details ...,59,-0.6684919,-2.032398,0.0,0.0017645409,0.019,5429,"tags=59%, list=20%, signal=74%",
GOBP_MATURATION_OF_SSU_RRNA,GOBP_MATURATION_OF_SSU_RRNA,Details ...,73,-0.6307773,-2.02852,0.0,0.0017468926,0.022,5429,"tags=49%, list=20%, signal=61%",
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_OF_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA,GOBP_ENDONUCLEOLYTIC_CLEAVAGE_OF_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA,Details ...,23,-0.7965507,-2.024425,0.0,0.001736619,0.024,3290,"tags=57%, list=12%, signal=64%",
GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS,GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS,Details ...,78,-0.6323257,-2.0225482,0.0,0.0016061025,0.025,4477,"tags=49%, list=16%, signal=58%",
GOBP_TRNA_MODIFICATION,GOBP_TRNA_MODIFICATION,Details ...,96,-0.6014965,-2.0086098,0.0,0.0019489973,0.034,2949,"tags=36%, list=11%, signal=41%",
REACTOME_CD22_MEDIATED_BCR_REGULATION,REACTOME_CD22_MEDIATED_BCR_REGULATION,Details ...,61,-0.6502473,-1.9977314,0.0,0.0024759038,0.048,521,"tags=8%, list=2%, signal=8%",
GOBP_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA,GOBP_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA,Details ...,23,-0.79264206,-1.9920423,0.0,0.0025939432,0.054,3794,"tags=57%, list=14%, signal=65%",
GOBP_TRNA_METHYLATION,GOBP_TRNA_METHYLATION,Details ...,41,-0.69071287,-1.9890826,0.0,0.002522695,0.057,2949,"tags=44%, list=11%, signal=49%",
GOBP_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA,GOBP_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA,Details ...,31,-0.73114526,-1.9867527,0.0,0.002422826,0.058,3290,"tags=48%, list=12%, signal=55%",
GOBP_MACROMOLECULE_METHYLATION,GOBP_MACROMOLECULE_METHYLATION,Details ...,129,-0.57125133,-1.9760132,0.0,0.0028162915,0.07,4159,"tags=41%, list=15%, signal=48%",
GOBP_RNA_MODIFICATION,GOBP_RNA_MODIFICATION,Details ...,180,-0.544982,-1.9713998,0.0,0.002780337,0.072,4159,"tags=39%, list=15%, signal=45%",
